config,epoch,loss,cos10_test
mamlK_U4_K1,1,0.3395769918461641,0.5970553267002106
mamlK_U4_K1,2,0.21661824176708858,0.663407347202301
mamlK_U4_K1,3,0.19135330920418103,0.6789607079327107
mamlK_U4_K1,4,0.1688267623881499,0.7170000022649765
mamlK_U4_K1,5,0.1635581833620866,0.7278023535013198
mamlK_U4_K1,6,0.15552770368754865,0.7321064358949662
mamlK_U4_K1,7,0.14887250925103823,0.6956483569741249
mamlK_U4_K1,8,0.14149590991437436,0.7095583683252334
mamlK_U4_K1,9,0.13910339325666427,0.7492142748832703
mamlK_U4_K1,10,0.1388827312240998,0.7676383137702942
mamlK_U4_K1,11,0.13788577896853288,0.7622184693813324
mamlK_U4_K1,12,0.13349383287131786,0.7443693269789219
mamlK_U4_K1,13,0.1310288365681966,0.7836207801103592
mamlK_U4_K1,14,0.12814960218966007,0.7553350067138672
mamlK_U4_K1,15,0.12337705274422964,0.7800710442662239
mamlK_U4_K1,16,0.1274088058869044,0.7629242312908172
mamlK_U4_K1,17,0.12006955457230409,0.7605716925859451
mamlK_U4_K1,18,0.12000012544294199,0.7955571794509888
mamlK_U4_K1,19,0.12327828153967857,0.7970682632923126
mamlK_U4_K1,20,0.1210594833890597,0.7731149177253246
mamlK_U4_K1,21,0.12155996484061082,0.756924899816513
mamlK_U4_K1,22,0.12020212426781654,0.7779450225830078
mamlK_U4_K1,23,0.11663664345939954,0.8017365336418152
mamlK_U4_K1,24,0.11489173091948032,0.7824297499656677
mamlK_U4_K1,25,0.11486184932291507,0.794362416267395
mamlK_U4_K1,26,0.1178030712902546,0.8119315755367279
mamlK_U4_K1,27,0.11580229875942072,0.797225725799799
mamlK_U4_K1,28,0.10796747016410033,0.8044077944755554
mamlK_U4_K1,29,0.11533101240793864,0.7961653138697148
mamlK_U4_K1,30,0.11183028814693292,0.7978107976913452
mamlK_U4_K1,31,0.11258448326339324,0.7875527828931809
mamlK_U4_K1,32,0.10674354664981366,0.807917720079422
mamlK_U4_K1,33,0.10819576853265366,0.807927662730217
mamlK_U4_K1,34,0.11045404922217131,0.7892514216899872
mamlK_U4_K1,35,0.11241467177867889,0.7921020865440369
mamlK_U4_K1,36,0.10932925939559937,0.7903496680408716
mamlK_U4_K1,37,0.10381663547207912,0.7668627226352691
mamlK_U4_K1,38,0.1071135958780845,0.7730690225958824
mamlK_U4_K1,39,0.10774661825348933,0.8059287357330323
mamlK_U4_K1,40,0.10857624676078557,0.83376913189888
mamlK_U4_K1,41,0.10950486143430074,0.7742104935646057
mamlK_U4_K1,42,0.10545750390738248,0.810519278049469
mamlK_U4_K1,43,0.1052815372745196,0.8057966285943985
mamlK_U4_K1,44,0.10903738483786583,0.8267235445976258
mamlK_U4_K1,45,0.10730494531492392,0.7892061904072761
mamlK_U4_K1,46,0.10393029546986024,0.7977983325719833
mamlK_U4_K1,47,0.10761934834221999,0.823192930817604
mamlK_U4_K1,48,0.10633286371827126,0.7915622889995575
mamlK_U4_K1,49,0.10852537066986163,0.8068294554948807
mamlK_U4_K1,50,0.10527669581274192,0.8049935579299927
mamlK_U4_K1,51,0.10183198112994432,0.8283192348480225
mamlK_U4_K1,52,0.106179664482673,0.8038868260383606
mamlK_U4_K1,53,0.11007975281526645,0.7701723985373974
mamlK_U4_K1,54,0.10454111352562905,0.8153893089294434
mamlK_U4_K1,55,0.10165571812540293,0.8099441200494766
mamlK_U4_K1,56,0.10291118039439122,0.8030243682861328
mamlK_U4_K1,57,0.10704815806200108,0.8102884113788604
mamlK_U4_K1,58,0.10171569392085075,0.7968954205513
mamlK_U4_K1,59,0.10292136568576098,0.7862212884426117
mamlK_U4_K1,60,0.10662949436654647,0.7925063616037369
mamlK_U4_K1,61,0.10734868448227644,0.7984207433462143
mamlK_U4_K1,62,0.10304167098055284,0.8217874234914779
mamlK_U4_K1,63,0.10521399758756161,0.8244336760044098
mamlK_U4_K1,64,0.10094862267374992,0.8220500147342682
mamlK_U4_K1,65,0.1031661332398653,0.8266524529457092
mamlK_U4_K1,66,0.10353197903682788,0.8127677541971207
mamlK_U4_K1,67,0.10081918518990278,0.8079964489489794
mamlK_U4_K1,68,0.10363816128422816,0.8064543125033379
mamlK_U4_K1,69,0.10104108888655901,0.8417371332645416
mamlK_U4_K1,70,0.10481970300277074,0.8107023566961289
mamlK_U4_K1,71,0.10354454388221104,0.806251373887062
mamlK_U4_K1,72,0.10152822078516086,0.8281261730194092
mamlK_U4_K1,73,0.10400646410882473,0.7800723713636398
mamlK_U4_K1,74,0.10384751554578543,0.8151430320739746
mamlK_U4_K1,75,0.10166229440520207,0.8314117884635925
mamlK_U4_K1,76,0.10101484221716722,0.8196522581577301
mamlK_U4_K1,77,0.10100059510519108,0.8323004174232483
mamlK_U4_K1,78,0.10188165108362833,0.8349729001522064
mamlK_U4_K1,79,0.10232309172550837,0.8102788186073303
mamlK_U4_K1,80,0.10161228114118179,0.8061175668239593
mamlK_U4_K1,81,0.10679626700778802,0.7957542228698731
mamlK_U4_K1,82,0.09985721929619709,0.8155868190526963
mamlK_U4_K1,83,0.10131263419985771,0.8271038043498993
mamlK_U4_K1,84,0.10077717038492362,0.7987181535363197
mamlK_U4_K1,85,0.10207743760198355,0.802321862578392
mamlK_U4_K1,86,0.09966132553915183,0.7935655745863914
mamlK_U4_K1,87,0.09967112574726343,0.8238284683227539
mamlK_U4_K1,88,0.10276158565034468,0.8025999909639359
mamlK_U4_K1,89,0.10255109138786793,0.8074301856756211
mamlK_U4_K1,90,0.10022635678450266,0.7628305122256279
mamlK_U4_K1,91,0.10245673291385174,0.8166504371166229
mamlK_U4_K1,92,0.09916387628763915,0.8074478885531425
mamlK_U4_K1,93,0.10233928474287192,0.841915146112442
mamlK_U4_K1,94,0.10203774685660998,0.8012312103807926
mamlK_U4_K1,95,0.1000142144287626,0.8060261923074722
mamlK_U4_K1,96,0.10193064155677954,0.8143401873111725
mamlK_U4_K1,97,0.09882214875270923,0.8182688345015049
mamlK_U4_K1,98,0.10450279959787925,0.8467787909507751
mamlK_U4_K1,99,0.10176315414408843,0.7878685969673097
mamlK_U4_K1,100,0.1001277572909991,0.8041835770010948
mamlK_U4_K1,101,0.10305923895289501,0.8290009769797325
mamlK_U4_K1,102,0.10232010785490274,0.8266846370697022
mamlK_U4_K1,103,0.10178076980014641,0.8354748725891114
mamlK_U4_K1,104,0.09648833476006985,0.8330800247192383
mamlK_U4_K1,105,0.10118337649852037,0.8440955173969269
mamlK_U4_K1,106,0.10032680181165536,0.8250223326683045
mamlK_U4_K1,107,0.09837850441535313,0.8044747364521027
mamlK_U4_K1,108,0.10179255776107311,0.8232489228248596
mamlK_U4_K1,109,0.10068597142895062,0.821098415851593
mamlK_U4_K1,110,0.10075642358511687,0.8095153947174549
mamlK_U4_K1,111,0.1003301202878356,0.7819948774576188
mamlK_U4_K1,112,0.09819000442822774,0.7827690821886063
