config,epoch,loss,cos10_test
baseline_U1_K1,1,0.38860565627614657,0.5393437550216913
baseline_U1_K1,2,0.24464154904087385,0.6355298846960068
baseline_U1_K1,3,0.18947792870302996,0.7195799481868744
baseline_U1_K1,4,0.1740141469736894,0.7121566879749298
baseline_U1_K1,5,0.15491440432767073,0.7388484728336334
baseline_U1_K1,6,0.15203079854448637,0.7538963913917541
baseline_U1_K1,7,0.1403118154158195,0.7807298088073731
baseline_U1_K1,8,0.13615109704434872,0.7920967900753021
baseline_U1_K1,9,0.12169413901865482,0.7891773837804794
baseline_U1_K1,10,0.13560120126853387,0.7857873618602753
baseline_U1_K1,11,0.1238092195863525,0.7969709980487824
baseline_U1_K1,12,0.11940355341881513,0.7947230994701385
baseline_U1_K1,13,0.11755605696390073,0.8114256292581559
baseline_U1_K1,14,0.11597909837961197,0.807024335861206
baseline_U1_K1,15,0.124975979787608,0.8112040448188782
baseline_U1_K1,16,0.10936559945344924,0.8250163912773132
baseline_U1_K1,17,0.1067457686488827,0.8197338628768921
baseline_U1_K1,18,0.10008501133571068,0.8329424238204957
baseline_U1_K1,19,0.10282569605857134,0.8020580756664276
baseline_U1_K1,20,0.09509632686773936,0.8314053392410279
baseline_U1_K1,21,0.09515515961994728,0.8289996230602265
baseline_U1_K1,22,0.09461005331327518,0.8368773770332336
baseline_U1_K1,23,0.08897205546498299,0.8303642129898071
baseline_U1_K1,24,0.09190382855633894,0.8541729879379273
baseline_U1_K1,25,0.08819799543668827,0.8439766156673432
baseline_U1_K1,26,0.08570299544682106,0.8487807309627533
baseline_U1_K1,27,0.08107490628957749,0.8391688120365143
baseline_U1_K1,28,0.08584222958733638,0.8474215197563172
baseline_U1_K1,29,0.09501842591911554,0.8602836227416992
baseline_U1_K1,30,0.0817037606984377,0.8418952614068985
baseline_U1_K1,31,0.0894479398181041,0.8496163952350616
baseline_U1_K1,32,0.08206860531121492,0.8410224163532257
baseline_U1_K1,33,0.08124772090464831,0.8470563852787018
baseline_U1_K1,34,0.084372852469484,0.8511231100559234
baseline_U1_K1,35,0.08067051144316792,0.8689026045799255
baseline_U1_K1,36,0.07850081901997327,0.8617312252521515
baseline_U1_K1,37,0.08672970241556564,0.8618883764743805
baseline_U1_K1,38,0.08689744125430783,0.855451534986496
baseline_U1_K1,39,0.08663054514676333,0.8397559779882431
baseline_U1_K1,40,0.07892991534123818,0.8689068555831909
baseline_U1_K1,41,0.07907509775211413,0.8465850502252579
baseline_U1_K1,42,0.0780551539734006,0.8677441191673279
baseline_U1_K1,43,0.07978729226936897,0.8826151967048645
baseline_U1_K1,44,0.08101983901113272,0.855974074602127
baseline_U1_K1,45,0.08177272224177917,0.8457984405755997
baseline_U1_K1,46,0.0771091948201259,0.8637244272232055
baseline_U1_K1,47,0.07935027450323105,0.8649807024002075
baseline_U1_K1,48,0.08163490638757745,0.8710306310653686
baseline_U1_K1,49,0.07685187838350734,0.8494979298114776
baseline_U1_K1,50,0.07391523977120718,0.8644261527061462
baseline_U1_K1,51,0.07719171424085895,0.8662119221687317
baseline_U1_K1,52,0.07611659247428179,0.8796068215370179
baseline_U1_K1,53,0.07439812136813999,0.8814979124069214
baseline_U1_K1,54,0.0727971478117009,0.8781376695632934
baseline_U1_K1,55,0.07278790157288313,0.8714104521274567
baseline_U1_K1,56,0.0718123571947217,0.8550414842367172
baseline_U1_K1,57,0.0661158053825299,0.8578635632991791
baseline_U1_K1,58,0.07230398355051876,0.8762058961391449
baseline_U1_K1,59,0.07471914718548457,0.8592635089159012
baseline_U1_K1,60,0.0721146283360819,0.8597775816917419
baseline_U1_K1,61,0.06913897731651862,0.8734044134616852
baseline_U1_K1,62,0.0682773478453358,0.8863432657718658
baseline_U1_K1,63,0.07187895126640796,0.8735314285755158
baseline_U1_K1,64,0.08077044509351254,0.857609035372734
baseline_U1_K1,65,0.07126977895696958,0.8779790246486664
baseline_U1_K1,66,0.08372974853341777,0.8632857990264893
baseline_U1_K1,67,0.07062469961121678,0.8874034988880157
baseline_U1_K1,68,0.07692848469441135,0.884807996749878
baseline_U1_K1,69,0.07596830002342661,0.8887645494937897
baseline_U1_K1,70,0.07601895631601413,0.8809369921684265
baseline_U1_K1,71,0.07422081181779504,0.8711366087198258
baseline_U1_K1,72,0.07424527018641432,0.8844362533092499
baseline_U1_K1,73,0.069580888338387,0.877080590724945
baseline_U1_K1,74,0.07377492159605026,0.8836477774381638
baseline_U1_K1,75,0.06906791708121697,0.8856176102161407
baseline_U1_K1,76,0.06876837609956662,0.8821260130405426
baseline_U1_K1,77,0.07882344476878643,0.8867111337184906
baseline_U1_K1,78,0.06914802147696415,0.8819462943077088
baseline_U1_K1,79,0.07099281769866744,0.8841671848297119
baseline_U1_K1,80,0.06950868948052327,0.8832372784614563
baseline_U1_K1,81,0.07284293474008639,0.8523881882429123
baseline_U1_K1,82,0.06798504272475839,0.8622047504037619
baseline_U1_K1,83,0.07402512174099683,0.8451728057861329
baseline_U1_K1,84,0.07241019016752641,0.8548915116116405
baseline_U1_K1,85,0.06788826375578841,0.8839755141735077
baseline_U1_K1,86,0.07639431309575836,0.8635529971122742
baseline_U1_K1,87,0.07481268090506395,0.8851240253448487
baseline_U1_K1,88,0.06482338244716326,0.8810686212778092
baseline_U1_K1,89,0.06604061486199499,0.9005573284626007
baseline_U1_K1,90,0.06889183750996987,0.8894867765903473
baseline_U1_K1,91,0.06949265290051698,0.8988240051269532
baseline_U1_K1,92,0.06890567715590198,0.8865219902992248
baseline_U1_K1,93,0.06000299848616123,0.8706187105178833
baseline_U1_K1,94,0.06752440996468068,0.8754223304986953
baseline_U1_K1,95,0.06460412674273054,0.8879262495040894
baseline_U1_K1,96,0.06868631701916456,0.8941074109077454
baseline_U1_K1,97,0.07123672379180788,0.8803156542778016
baseline_U1_K1,98,0.06816712942595284,0.8756927061080932
baseline_U1_K1,99,0.07980770664289594,0.8872887516021728
baseline_U1_K1,100,0.06819426852588852,0.8905893802642822
baseline_U1_K1,101,0.06567144657174746,0.8652136480808258
baseline_U1_K1,102,0.06418316503365834,0.8890148746967316
baseline_U1_K1,103,0.0683207920504113,0.8824420285224914
baseline_U1_K1,104,0.06842905489727855,0.884451892375946
baseline_U1_K1,105,0.061173251854876674,0.8801775515079499
baseline_U1_K1,106,0.06807842874278625,0.8898215067386627
baseline_U1_K1,107,0.06564596808205048,0.8908933472633361
baseline_U1_K1,108,0.06097086869180202,0.885266147851944
baseline_U1_K1,109,0.06539284937083721,0.8837534183263779
baseline_U1_K1,110,0.06670197945088148,0.8958233666419982
baseline_U1_K1,111,0.05676533645639817,0.8858305168151855
baseline_U1_K1,112,0.06742158073931932,0.8737253725528717
baseline_U1_K1,113,0.062442267450193566,0.8995939660072326
baseline_U1_K1,114,0.06949881484732032,0.9009370756149292
baseline_U1_K1,115,0.06375317874674996,0.8746583351492881
baseline_U1_K1,116,0.06927345012625058,0.8984048986434936
baseline_U1_K1,117,0.06625823630640904,0.8733457139134407
baseline_U1_K1,118,0.06062998417764902,0.88270463347435
baseline_U1_K1,119,0.06064460353925824,0.8787034857273102
baseline_U1_K1,120,0.05975217279667656,0.8818352127075195
baseline_U1_K1,121,0.06806836587687333,0.8801260280609131
baseline_U1_K1,122,0.068615550690641,0.8925794929265976
baseline_U1_K1,123,0.06595976190641523,0.9034395909309387
baseline_U1_K1,124,0.06163638817767302,0.8883420526981354
baseline_U1_K1,125,0.05750161185860634,0.8718464154005051
baseline_U1_K1,126,0.05890387648095687,0.8958524733781814
baseline_U1_K1,127,0.06845031516005595,0.874745654463768
baseline_U1_K1,128,0.05870272159576416,0.8927109289169312
baseline_U1_K1,129,0.06497620038688183,0.8922516453266144
baseline_U1_K1,130,0.06227289049575726,0.8954743462800979
baseline_U1_K1,131,0.0679319170800348,0.9072610414028168
baseline_U1_K1,132,0.06574037031581005,0.8748745673894882
baseline_U1_K1,133,0.061753364981462555,0.896762136220932
baseline_U1_K1,134,0.062410652935504914,0.8988645005226136
baseline_U1_K1,135,0.06772744876643022,0.8718601238727569
baseline_U1_K1,136,0.06731244585166375,0.8741190552711486
baseline_U1_K1,137,0.07245095404485861,0.8926923620700836
baseline_U1_K1,138,0.06664775344232718,0.8956782031059265
baseline_U1_K1,139,0.07195865133156379,0.8838353407382965
baseline_U1_K1,140,0.06258489456027747,0.8853029769659042
baseline_U1_K1,141,0.06403262610236804,0.9007286179065704
baseline_U1_K1,142,0.0626060417542855,0.8890740823745727
baseline_U1_K1,143,0.06338600847870111,0.889829986691475
baseline_U1_K1,144,0.06233253340547284,0.8980458968877792
baseline_U1_K1,145,0.06581496429319184,0.8954800760746002
baseline_U1_K1,146,0.07298855563625693,0.8862036776542663
baseline_U1_K1,147,0.0645788813320299,0.8765415680408478
baseline_U1_K1,148,0.06201385567585627,0.9004671466350556
baseline_U1_K1,149,0.053691599251081544,0.8907369256019593
baseline_U1_K1,150,0.06821783795331915,0.8809137868881226
baseline_U1_K1,151,0.06411069818461934,0.8978038430213928
baseline_U1_K1,152,0.06349215363462767,0.891809549331665
baseline_U1_K1,153,0.058369244697193304,0.8869796526432038
baseline_U1_K1,154,0.061366354456792276,0.8830198511481285
baseline_U1_K1,155,0.06345978167528908,0.8975516271591186
baseline_U1_K1,156,0.06070081832508246,0.8807310432195663
baseline_U1_K1,157,0.07001339100922148,0.8899851977825165
baseline_U1_K1,158,0.06327453382934133,0.8998905372619629
baseline_U1_K1,159,0.05910237845654289,0.9042740941047669
baseline_U1_K1,160,0.07430698872854312,0.8735030007362365
baseline_U1_K1,161,0.06295513721182942,0.899517822265625
baseline_U1_K1,162,0.05872609962398807,0.8714593040943146
baseline_U1_K1,163,0.06356200526778896,0.9109718155860901
baseline_U1_K1,164,0.06603405186906457,0.8958855950832367
baseline_U1_K1,165,0.06323553576444586,0.9014493918418884
baseline_U1_K1,166,0.06071817963073651,0.8897523510456086
baseline_U1_K1,167,0.0601734190620482,0.8906325393915177
baseline_U1_K1,168,0.0686359172873199,0.8900423955917358
baseline_U1_K1,169,0.06217914280792077,0.8939130699634552
baseline_U1_K1,170,0.06539557525888086,0.8872559976577759
baseline_U1_K1,171,0.06059254333997766,0.9007832372188568
baseline_U1_K1,172,0.06791249513005217,0.886314685344696
baseline_U1_K1,173,0.06722830927620331,0.877135922908783
baseline_U1_K1,174,0.06203361338625352,0.9099511897563934
baseline_U1_K1,175,0.06038097643603881,0.8985726833343506
baseline_U1_K1,176,0.06871744704122344,0.8940033435821533
baseline_U1_K1,177,0.058305413493265706,0.8829941833019257
baseline_U1_K1,178,0.06859562809889515,0.8825755345821381
baseline_U1_K1,179,0.06257583962132533,0.8665883162617684
baseline_U1_K1,180,0.059183211866766214,0.8928079599142075
baseline_U1_K1,181,0.06332046138122678,0.8742991948127746
baseline_U1_K1,182,0.060295465768625336,0.910610420703888
baseline_U1_K1,183,0.057670101237793765,0.9073237228393555
baseline_U1_K1,184,0.05963258504867554,0.8917125874757766
baseline_U1_K1,185,0.05815759641428789,0.8508946871757508
baseline_U1_K1,186,0.05442700467382868,0.876238574385643
baseline_U1_K1,187,0.05983473970244328,0.8989874613285065
baseline_U1_K1,188,0.06272238379344344,0.8896875822544098
baseline_U1_K1,189,0.06416905307521423,0.8853498089313507
baseline_U1_K1,190,0.06301046634092927,0.8807960259914398
baseline_U1_K1,191,0.0638881483177344,0.8917665731906891
baseline_U1_K1,192,0.06623496217653155,0.8839089632034302
baseline_U1_K1,193,0.05246733693405986,0.9131672763824463
baseline_U1_K1,194,0.06364057055364053,0.9052560794353485
baseline_U1_K1,195,0.07140593621879816,0.8956322622299194
baseline_U1_K1,196,0.06791710001726946,0.895225180387497
baseline_U1_K1,197,0.06188458305473129,0.8864111077785491
baseline_U1_K1,198,0.06078378360097607,0.9090931010246277
baseline_U1_K1,199,0.05905562996864319,0.8750944310426712
baseline_U1_K1,200,0.060802237105866276,0.9026254832744598
prop_U1_K4,1,0.53232097585996,0.4994592635333538
prop_U1_K4,2,0.29367499833305677,0.6379897218942642
prop_U1_K4,3,0.20524795688688754,0.730020489692688
prop_U1_K4,4,0.17688801862299441,0.7134816796332598
prop_U1_K4,5,0.1663194415718317,0.7379486113786697
prop_U1_K4,6,0.16152294692893823,0.7596685320138932
prop_U1_K4,7,0.1554014017432928,0.7832725918293
prop_U1_K4,8,0.1481604773302873,0.7973621249198913
prop_U1_K4,9,0.13304244995117187,0.7844889086484909
prop_U1_K4,10,0.14249517872929574,0.8006539952754974
prop_U1_K4,11,0.1273054371898373,0.8105658972263337
prop_U1_K4,12,0.12902169119566678,0.8067072141170502
prop_U1_K4,13,0.12451482318341732,0.8180240577459336
prop_U1_K4,14,0.11834157717724642,0.8157292610406875
prop_U1_K4,15,0.12917159424473842,0.8232530736923218
prop_U1_K4,16,0.11113076732804378,0.8412147629261016
prop_U1_K4,17,0.10541769561668236,0.8327526724338532
prop_U1_K4,18,0.10116383519023657,0.8434949207305908
prop_U1_K4,19,0.1009901212900877,0.8274159842729568
prop_U1_K4,20,0.09232176893701156,0.8451003789901733
prop_U1_K4,21,0.08939860809594392,0.8451511991024018
prop_U1_K4,22,0.09164471372961998,0.8586118233203888
prop_U1_K4,23,0.08510573842873176,0.8500124526023864
prop_U1_K4,24,0.08599343962967396,0.8624586749076844
prop_U1_K4,25,0.0825642794619004,0.8564620292186738
prop_U1_K4,26,0.0801216214771072,0.8663303220272064
prop_U1_K4,27,0.07556839944173892,0.8560964143276215
prop_U1_K4,28,0.08004477959126234,0.8711765480041503
prop_U1_K4,29,0.08313060355683168,0.8762062239646912
prop_U1_K4,30,0.07309950914233923,0.8569757610559463
